Demand,Entities In Part 1,Part 1 VA Time,Drilling Queue Time,Part 1 Storage Time,Part 1 Stored,Entities In Part 2,Part 2 VA Time,Milling Queue Time,Part 2 Storage Time,Part 2 Stored,Entities Out,Assembly Time,Assembly Queue Time,Drilling Utilization,Milling Utilization,Assembly Utilization
17,12172,3.002086,3.454343,133.298548,2669,12036,2.993005,0.75917,131.352821,2533,9503,3.005701,2.899589,0.841831,0.625413,0.992887
8,5448,2.999092,0.060044,2.060048,37,5688,2.992352,0.016003,14.678755,277,5411,3.004534,0.331416,0.377188,0.295221,0.565438
16,11584,2.998745,2.690896,121.227896,2037,11248,3.002832,0.535031,78.189025,1701,9547,2.995035,2.918434,0.800012,0.584641,0.993991
10,7290,2.995868,0.260466,33.198495,590,6710,3.004057,0.021796,1.394027,10,6700,3.000435,0.741966,0.50521,0.349452,0.698018
11,3450,3.001439,0.000615,9.394379,15,3460,3.013031,0,10.367626,25,3435,3.001844,0.035888,0.239152,0.180991,0.358176
12,13813,3.00226,9.566108,205.617376,4287,13908,3.000095,1.373233,242.365045,4382,9526,3.000077,2.89939,0.942984,0.724398,0.9933
2,1426,3.006494,0,3.15321,6,1532,3.014824,0,14.721767,112,1420,3.003057,0,0.099117,0.080168,0.148072
17,12257,2.992139,6.336637,168.365923,2691,12988,3.007208,1.086069,178.759912,3422,9566,2.992412,2.899798,0.84663,0.677405,0.994959
13,9503,3.000836,0.83671,10.63838,321,10036,2.999735,0.32264,68.821822,854,9182,2.999892,2.643458,0.658255,0.521934,0.957765
7,5166,3.002963,0.024798,8.693909,163,5033,2.999159,0.000542,15.721285,30,5003,2.998581,0.183414,0.358809,0.26122,0.521656
14,4392,2.996823,0.001896,5.264928,18,4422,3.005645,0.000047,12.114801,48,4374,2.999735,0.070531,0.304694,0.230767,0.456463
2,1312,2.997991,0,1.344226,2,1410,3.006091,0,56.160713,100,1310,2.987713,0,0.090945,0.073497,0.135899
9,6120,3.001181,0.166887,0.692328,27,6723,3.002006,0.026845,106.709406,630,6093,3.001464,0.567485,0.425167,0.349544,0.636043
5,3590,3.001041,0.000102,46.765266,156,3455,2.995155,0,0.108233,21,3434,2.998558,0.042808,0.248977,0.179364,0.358334
3,2277,2.989316,0,69.502194,211,2070,2.993383,0,0.125893,4,2066,2.987555,0.000089,0.157557,0.10747,0.214437
11,682,2.974522,0,42.510091,2,711,2.991189,0,4.464345,31,680,3.011268,0,0.046952,0.036922,0.071136
20,15400,2.99972,71.015454,234.673897,5834,15000,2.995983,1.573096,280.537176,5434,9566,2.999886,2.926464,0.997587,0.77947,0.997642
18,13410,3.003625,9.665868,173.976467,3850,13356,2.999027,1.583388,223.384766,3796,9560,2.998399,2.896057,0.927492,0.693269,0.996346
14,696,3.011208,0,2.23363,2,727,3.009333,0,16.336965,33,694,2.985163,0,0.048494,0.037982,0.071964
7,9607,2.998508,0.978259,63.555108,734,9074,2.998903,0.172472,9.452949,201,8873,3.003015,2.242728,0.665591,0.471597,0.926307
7,5124,3.007641,0.02829,46.654261,336,4823,2.993777,0.000971,0.44405,35,4788,2.999751,0.195038,0.356345,0.250369,0.499288
9,6813,2.998997,0.157303,16.240803,227,6633,2.993309,0.036361,3.302242,47,6586,3.004498,0.735114,0.47204,0.344626,0.688093
17,12036,3.000716,3.527559,143.864907,2494,12563,3.000037,0.949701,173.129379,3021,9542,3.006618,2.919764,0.833866,0.65369,0.997438
14,2852,2.994836,0,13.931843,13,2948,3.004349,0,9.890264,109,2839,2.996637,0.007806,0.19746,0.153764,0.295887
4,3072,3.007625,0,32.574952,312,2764,3.00097,0,1.419671,4,2760,2.995271,0.002387,0.21382,0.14383,0.287047
8,6032,2.99342,0.085809,102.979731,681,5384,3.000287,0.006103,0.205119,33,5351,2.995571,0.289126,0.417613,0.28024,0.557574
5,3635,3.002098,0.000859,63.008614,292,3370,3.005093,0,1.568626,27,3343,3.009638,0.024854,0.25204,0.17562,0.349929
5,3545,3.003497,0.002082,0.051116,5,3725,3.00059,0,68.714401,185,3540,3.001706,0.037325,0.246404,0.193877,0.36896
3,12359,3.00272,4.065102,154.447434,2766,11968,2.999245,0.609854,155.702468,2375,9593,2.992222,2.923109,0.854631,0.622528,0.997681
5,2972,2.997672,0.001233,41.122106,112,2880,2.991901,0,0.080873,20,2860,3.005816,0.005389,0.206229,0.149384,0.299048
2,1420,2.980412,0,13.349521,22,1404,3.007294,0,6.341894,6,1398,2.985305,0,0.09783,0.073184,0.145032
5,8124,2.997715,0.490573,12.268225,113,8076,2.989452,0.18948,7.04197,65,8011,3.00206,1.740226,0.562547,0.418627,0.835863
4,3918,2.998474,0.009117,0.483261,3,4134,2.999627,0,71.550631,219,3915,2.998629,0.065504,0.271945,0.215167,0.407946
11,7865,2.994059,0.361728,2.430317,113,8008,2.995106,0.080403,16.633911,256,7752,2.996406,1.335317,0.54109,0.414826,0.80781
13,12886,3.00139,6.186536,180.408222,3389,11730,3.002453,0.632728,156.624602,2233,9497,3.00564,2.885517,0.882076,0.610749,0.992384
11,10515,3.004142,1.692393,64.112758,1004,10770,2.994844,0.45065,89.384678,1259,9511,2.996255,2.859911,0.731217,0.559237,0.990559
15,10290,2.997375,1.84942,61.377544,727,10845,2.997149,0.441487,55.719219,1282,9563,2.994833,2.910836,0.713958,0.564307,0.995585
16,7623,3.002289,0.541283,4.377554,164,7799,2.993415,0.099429,35.376407,340,7459,3.004361,1.233416,0.528483,0.404929,0.779197
7,5495,3.002556,0.050217,72.091028,519,4998,2.994412,0.001419,0.991319,22,4976,2.998112,0.179867,0.381696,0.259664,0.519134
9,1386,3.012533,0,4.593983,2,1428,2.994937,0,21.711925,44,1384,3.000415,0,0.096637,0.074005,0.144188
18,10150,3.006778,1.284064,113.891943,1127,9282,2.999555,0.255794,10.321376,259,9023,3.003232,2.636554,0.705035,0.483366,0.94187
14,2788,2.994164,0,0.766532,4,2996,2.987639,0,37.736191,212,2784,3.00618,0.007011,0.193235,0.155399,0.290877
4,2776,2.992919,0,32.38506,20,2828,2.992377,0,1.938999,72,2756,3.000006,0.011208,0.191913,0.146922,0.287658
8,12816,3.000569,7.705793,188.247881,3278,13122,3.002315,1.024065,197.982569,3584,9538,3.004623,2.917181,0.887566,0.682789,0.996225
16,8436,2.994203,0.546909,3.625792,54,8652,3.000951,0.119107,24.288442,270,8382,3.00408,1.986743,0.583515,0.450775,0.875491
1,8772,3.000903,0.770639,83.610518,556,8352,2.996709,0.126518,3.440869,136,8216,2.995531,1.892423,0.608888,0.434022,0.85567
12,9348,2.999653,0.780299,66.446496,852,8700,2.996127,0.181121,4.524918,204,8496,3.000701,1.974804,0.648688,0.451821,0.886309
13,7821,2.997298,0.314649,1.112196,16,8217,2.999824,0.084748,28.144882,412,7805,2.99974,1.241395,0.542636,0.427685,0.813871
6,3465,3.001049,0.00121,0.048232,5,3845,2.990708,0,92.795421,385,3460,3.005739,0.032881,0.240709,0.199538,0.361314
18,13248,3.003407,6.878023,188.682469,3700,13212,3.002554,1.235085,158.33567,3664,9548,3.005698,2.933587,0.906728,0.686001,0.997705
5,3615,3.001234,0.008032,0.07298,14,3655,3.002519,0,32.502603,54,3601,3.010734,0.045454,0.25082,0.190357,0.376842
17,13039,2.998299,7.036397,193.565454,3463,12869,2.997551,0.965552,183.441117,3293,9576,2.997878,2.92622,0.898744,0.666986,0.997702
2,1424,3.003809,0,0.139462,9,1466,2.998333,0,48.294428,51,1415,3.015216,0,0.098889,0.076258,0.148495
6,5768,3.003822,0.092462,15.720826,99,5720,3.000179,0.00917,3.129161,51,5669,3.008909,0.349314,0.400396,0.297797,0.593276
15,10470,2.993697,1.371395,63.74043,1001,10440,3.001115,0.409522,99.554387,971,9469,3.001866,2.914868,0.724904,0.543952,0.98796
16,10944,2.996512,3.087372,74.146439,1641,11072,3.002787,0.477088,160.63089,1769,9303,3.003694,2.734364,0.747648,0.576926,0.971364
8,6435,2.996707,0.15237,0.366562,34,6696,3.003791,0.018186,65.949085,295,6401,3.004024,0.648513,0.446402,0.348425,0.668589
6,4212,3.000269,0.002527,0.118823,30,4290,2.994948,0.000018,49.051185,108,4182,3.005877,0.051562,0.292526,0.223054,0.437412
10,13840,3.00023,12.171477,233.513945,4260,14040,2.997117,2.01718,196.794075,4460,9580,2.995621,2.926393,0.960642,0.730027,0.997635
1,6147,2.993463,0.120502,6.053346,27,6372,2.999729,0.040176,8.051946,252,6120,3.004232,0.40931,0.425694,0.33167,0.638874
19,13775,3.001105,15.332556,217.513922,4216,13813,3.005222,1.792852,217.858755,4254,9559,3.002483,2.927814,0.952897,0.71698,0.997598
14,10108,3.002201,1.233086,49.508171,698,10010,3.005243,0.327075,37.326159,600,9410,2.997065,2.734955,0.700321,0.52171,0.980299
3,15460,3.001996,42.458947,235.86909,5925,13760,3.001991,1.470743,204.728213,4225,9535,3.008991,2.932854,0.998312,0.716189,0.997254
2,1456,2.999192,0,30.11266,60,1406,3.010286,0,0.176823,10,1396,3.007118,0,0.10092,0.073378,0.145974
6,4212,3.000417,0.008983,44.734233,235,3978,3.00616,0.000376,0.319234,1,3977,2.999928,0.090146,0.292543,0.207613,0.414362
1,744,3.004034,0,10.457799,13,732,2.998438,0,10.783944,1,731,2.996622,0,0.051736,0.038081,0.07606
3,2091,2.991937,0,0.204172,42,2052,3.001691,0,55.53471,3,2049,2.988659,0,0.144829,0.106882,0.212631
17,5880,2.998383,0.095789,6.535098,125,5768,2.994004,0.01797,12.87007,13,5755,3.008449,0.388211,0.407785,0.299761,0.601713
11,9884,2.995164,1.24852,48.194193,705,10206,2.995576,0.332102,103.74854,1027,9179,2.991595,2.643771,0.682178,0.530712,0.954371
7,5584,3.002847,0.047059,9.134331,0,5592,3.004127,0.018794,6.221777,8,5584,2.996539,0.369797,0.388146,0.291651,0.580996
5,9276,2.993394,0.862709,23.025567,644,8748,2.996444,0.187479,6.413757,116,8632,2.997847,2.149316,0.641108,0.454538,0.89961
17,3440,3.001606,0,2.159948,15,3575,2.998611,0,27.147113,150,3425,2.990362,0.013954,0.23879,0.185961,0.355694
17,11815,2.9959,2.400964,132.899839,2321,12733,2.998743,1.057162,143.402747,3239,9494,3.00557,2.92483,0.819365,0.662336,0.991967
17,11747,3.003862,3.511268,117.185418,2243,12461,3.000769,0.980842,173.542949,2957,9504,3.00132,2.887372,0.816558,0.648871,0.991625
12,5439,3.001762,0.048411,28.829559,482,4963,3.003252,0.002139,10.426823,6,4957,2.993106,0.227985,0.377761,0.25877,0.515549
15,12410,3.006486,4.875215,166.789951,2919,12495,2.999629,0.794512,195.091534,3004,9491,3.001343,2.889681,0.859937,0.649935,0.990395
14,759,2.99827,0,47.799057,52,710,3.018595,0,4.928872,3,707,2.985387,0,0.052632,0.037208,0.073464
8,5664,2.998632,0.089857,34.764469,18,5680,2.9987,0.007147,1.261788,34,5646,2.998168,0.347706,0.392789,0.295192,0.587995
4,5840,3.007045,0.107769,1.279339,14,5944,2.997769,0.009676,13.548032,118,5826,3.006223,0.519547,0.406102,0.307949,0.608625
