Demand,Total parts,Parts per hour,VA Time,Drilling Waiting Time,Milling Waiting Time,Assembly Waiting Time,Drilling Util,Milling Util,Assembly Util,,,,,,,,,,,,
5,2365,99,8.989744,0.108218,0,0.447508,0.327761,0.246406,0.489638,,,,,,,,,,,,
10,8172,341,9.00452,86.003608,0.000079,225.136864,0.988197,0.738302,0.996095,,,,,,,,,,,,
6,2435,101,9.01299,0.098701,0,0.395065,0.338128,0.252872,0.50556,,,,,,,,,,,,
17,8364,349,9.004231,97.455343,0.000039,239.575772,0.999999,0.749254,0.996312,,,,,,,,,,,,
2,954,40,9.042904,0,0,0,0.133092,0.098832,0.19662,,,,,,,,,,,,
8,3808,159,9.012862,0.691221,0.00003,4.577565,0.524758,0.39584,0.788933,,,,,,,,,,,,
15,7065,294,8.990218,15.610092,0.000015,202.098194,0.954851,0.712818,0.995832,,,,,,,,,,,,
8,7504,313,8.99642,87.337959,0.000075,201.610196,0.973277,0.727524,0.995697,,,,,,,,,,,,
9,4500,188,8.996561,1.294536,0.000074,16.880191,0.625106,0.465774,0.915698,,,,,,,,,,,,
16,2742,114,9.005865,0.218982,0.000001,0.947797,0.378302,0.284714,0.566678,,,,,,,,,,,,
7,9440,393,8.997657,217.78864,0.000085,232.387327,0.996198,0.745661,0.995879,,,,,,,,,,,,
2,4419,184,9.000917,1.265662,0.000042,8.259281,0.613698,0.459905,0.899859,,,,,,,,,,,,
18,9424,393,9.000021,174.868809,0.000042,240.561497,0.999999,0.746736,0.995975,,,,,,,,,,,,
14,6916,288,8.999041,15.139127,0.000034,191.825592,0.939435,0.699545,0.99578,,,,,,,,,,,,
18,9640,402,9.010504,170.591402,0.000005,237.060405,0.99899,0.749993,0.99594,,,,,,,,,,,,
2,934,39,8.986,0,0,0,0.129136,0.097087,0.194723,,,,,,,,,,,,
7,3030,126,9.012087,0.243722,0,1.028269,0.420966,0.316197,0.632508,,,,,,,,,,,,
1,460,19,8.976784,0,0,0,0.06358,0.047443,0.09604,,,,,,,,,,,,
3,1575,66,9.002665,0.002777,0,0.056414,0.21767,0.163809,0.326026,,,,,,,,,,,,
